,삼성전자,현대차,SK하이닉스,한국전력,NAVER,POSCO,삼성생명,삼성전자우,현대모비스,SK텔레콤,기아차,신한지주,삼성화재,KB금융,아모레퍼시픽,LG디스플레이,현대글로비스,LG화학,KT&G,LG,LG전자,LG생활건강,하나금융지주,KT,롯데쇼핑,아모레G,현대중공업,삼성SDI,기업은행,고려아연,현대제철,SK이노베이션,한화생명,강원랜드,코웨이,오리온,KCC,LG유플러스,S-Oil,롯데케미칼,현대차2우B,삼성카드,CJ,한국가스공사,현대건설,삼성전기,엔씨소프트,CJ제일제당,삼성중공업,CJ대한통운,호텔신라,한전KPS,GS,삼성증권,대우조선해양,현대차우,한샘,현대산업,현대백화점,대한항공,에스원,한국금융지주,LG이노텍,금호석유,영원무역,롯데제과,현대해상,두산중공업,효성,한국타이어월드와이드,영풍,대우건설,한화,SK네트웍스,두산,대림산업,GKL,두산인프라코어,제일기획,유한양행,현대그린푸드,롯데칠성,현대상선,한전기술,한화케미칼,LS산전,신세계,OCI,오뚜기,LS,현대홈쇼핑,하이트진로,한세실업,녹십자,LG하우시스,농심,GS건설,금호타이어,아이에스동서,아시아나항공,현대미포조선,SK케미칼,삼성엔지니어링,코리안리,태광산업,휠라코리아,영원무역홀딩스,CJ CGV,넥센타이어,메리츠종금증권,한일시멘트,코오롱인더,대상,AK홀딩스,아모레퍼시픽우,동양생명,쌍용차,동원F&B,LG상사,동원산업,무학,휴켐스,쌍용양회,키움증권,LG화학우,하나투어,SKC,녹십자홀딩스,한미약품,조광피혁,아이마켓코리아,한미사이언스,대웅제약,롯데푸드,한국콜마홀딩스,SK가스,한섬,JB금융지주,금호산업,서울가스,세아홀딩스,빙그레,한진,신도리코,풍산,현대상사,한국단자,SBS미디어홀딩스,대상홀딩스,다우기술,지역난방공사,NICE,고려제강,락앤락,에스엘,대교,S&T모티브,LG생활건강우,동원시스템즈,광동제약,대한해운,부광약품,삼천리,한국쉘석유,SBS,삼성화재우,세방전지,동아쏘시오홀딩스,신영증권,동국제강,대웅,농심홀딩스,두산건설,Week,Date
11Y_week1,13.7792,151181.2813,23364.6777,26055.7285,51203.5547,382628.4063,89217.8906,0.0237,273873.1875,119694.3203,45051.2109,45645.8984,183997.25,52807.8477,88669.7422,38141.9844,138631.9531,344600.7188,50461.1875,77877.3906,112318.0078,376055.4375,36156.2734,36811.5469,444921.1563,17328.5098,291021.9063,166478.2188,15060.1572,254742.2188,115202.5156,155055.5625,6804.3696,23502.9688,31911.3691,19624.5996,405561.625,6187.9482,72084.4531,261493.0469,49231.6484,48466.5273,74758.8438,44103.9922,67077.1406,118314.9219,192345.6563,205736.4531,28884.2871,93600,28150,43205.25,52479.8828,68947.5625,356360.9688,45737.0039,12345.417,15292.8701,131923.7344,68160.8125,48293.0547,39093.2773,134567.6875,80481.8203,10041.5049,40290.8789,20414.7344,74082.5625,40541.9609,2748.054,814004.375,13100,38364.3359,12241.3086,133933.7813,119842.0391,16095.9092,28950,13143.8213,132082.2031,11373.708,572709,223949,82094.8906,29507.6621,81554.4375,438348.625,319357.0313,124834.6484,97657.1875,94831.5781,26532.6523,4481.8145,122581.6484,80017.8281,187947.7813,104673.5703,14350,10891.4746,9470,99118.3984,34079.1602,116596.9375,9634.6973,1252764.25,13677.5762,32717.6211,26532.6602,8070.9102,556.6312,64008.8125,67519.8906,7268.0981,11023.2803,15185.7266,9046.9375,8900,45198.5938,36162.4023,131527.4844,6455.5918,16083.9033,578.2914,52640.9727,126442.5625,38179.6602,32764.7324,9461.5732,61526.4492,12459.917,24287.8242,5222.0732,40693.6914,258457.3281,4202.6499,31831.5898,17251.2637,5437.6465,107628.1406,46401.7578,116984.4453,48920.2422,30753.7754,55100,41714.3828,18456.0195,18362.7637,2526.5269,2865.5115,8044.1611,78000,4219.9829,22210.5137,32577.3066,16142.1357,4835.8413,26786.834,81917.6953,15846.6348,3240.9541,1980000,3333.5447,94094.4688,149324.3125,25139.6309,61156.8633,31789.7363,88486.6719,25702.5879,27524.0313,1928.7004,49407.0469,59055.6875,11Y_week1,2011-01-03
11Y_week2,13.1895,169118.0625,23364.6777,25232.0059,49700.9102,384596.6875,94365.0781,0.0228,284102.6875,118306.5234,51229.6523,43176.2578,186461.4844,49646.2148,94517.8438,36274.5664,151026.1875,359161.3125,49232.3047,78233,107638,391173.25,35951.7695,35719.3398,433657.3125,17129.334,304401.5938,162737.1563,14432.6523,256073.6094,118874.2969,148677.9531,7021.9761,24661.5664,30520.4668,20607,390022.7813,6187.9482,69834.2344,287549.2813,54906.3203,46584.3281,75987.4922,43322.2109,75959.0703,118777.0781,201637.7031,198098.9063,29102.4941,95700,27850,43789.1055,53755.9883,69582.9844,365319.7188,50734.75,11667.0977,15694.0986,130960.8047,72519.9375,46908.3047,41775.7148,131610.1719,101271.4688,10232.7705,39621.5898,21791.4473,72117.2813,38124.3125,2768.7473,823469.5,14000,41383.5703,12463.0713,130107.2734,120327.2344,16095.9092,28650,13099.1133,130162.1953,10885.5674,580122.75,216207,84932.0469,32591.9277,79958.8203,441199.375,335759.0313,127163.6563,102452.8516,96226.1563,26309.0645,4420.4219,119516.6016,78394.0234,187054.9375,106891.4453,15400,11224.2988,9910,96121.7813,34135.4609,111421.5859,9634.6973,1346771,12980.2871,33473.0117,26865.5039,9021.5479,571.9986,65494.9023,67428.6406,7435.8242,11879.8174,15185.7266,9389.0479,9310,46899.1367,35840.3516,130133.1953,7182.6152,15647.0586,665.5213,52457.8711,130789.0391,38785.6836,35463.0039,9583.8633,57369.3047,14981.5674,23771.9746,5222.0732,39873.7461,261266.6406,4181.9502,31204.3438,17435.7676,5204.272,105379.1953,46312.8672,115231.875,51406.207,30753.7754,55400,42406.7344,19652.5918,19431.9863,2665.2947,2817.0181,8414.0068,78600,4246.8193,22511.9023,32986.2188,18702.9258,4993.104,28014.3789,82791.9453,15603.5879,3231.6006,2002500,3345.845,93672.5234,153766.4531,24447.7109,61851.832,32262.0918,85732.2031,26006.5566,27878.3574,1961.3948,49237.5547,58693.9453,11Y_week2,2011-01-10
11Y_week3,13.6497,169118.0625,24842.2852,24278.2168,48776.2188,369637.9688,93936.1328,0.0227,286892.5938,115877.9297,49685.043,45305.2578,180711.5781,52380.6016,85824.7266,34874.0039,148271.9219,366220.9688,48771.4648,76010.4688,108105.4219,374165.7188,39264.7305,34546.2266,416761.5625,15854.5898,333838.625,156657.875,14040.458,263618.2188,117038.3984,145489.1719,6879.6953,23792.6191,29248.7773,21442.0996,387433.7813,6059.2114,70610.1641,291736.9375,55979.9023,44623.7148,76743.5859,40608.7734,84933.5391,115079.7344,175619.9375,199530.9531,32158.3047,106500,27100,45540.668,56786.7461,75858.2109,403145.7813,51643.4375,13204.6211,17633.5645,121812.7891,70538.5313,48206.5078,44238.2813,126680.9453,105286.6406,10806.5723,37453.1133,20886.748,73142.6406,35409.0742,2570.0938,788448.4375,14900,42108.1875,11620.373,140736.9375,130031.0234,15703.3262,30050,12696.751,126706.7031,10055.7236,560970.625,212479,86670.9531,33420.5313,75792.4453,429795.3125,359879.6563,121574.0391,98529.1328,91484.5781,26122.7383,4434.064,113387.4219,77131.0547,186608.5,112657.9375,15700,11133.5371,10750,100962.4609,32785.7656,122990.3594,9958.5791,1295314.75,11907.5361,33520.2148,25486.5684,8308.5693,597.6106,61461.1367,63870.1563,7081.7373,11483.2939,15113.6436,9351.0371,9220,45735.6055,35702.3242,134316.0781,7322.7622,15567.6318,671.174,57218.4492,128023.0859,43201.0195,34606.4141,10114.0273,56953.5,14833.2354,22783.2695,5087.9951,39097.0234,247688.2813,4011.1499,32184.3848,17712.5254,5227.6133,109234.5313,45779.5117,121804.0156,48476.3203,31748.75,53200,43055.8164,20123.9473,18316.2715,2593.5181,2768.5249,8321.5439,74900,4173.02,21939.2617,32259.2852,18245.6445,4820.1152,27795.1758,80868.5938,15166.1045,2974.3818,2073750,3395.0454,90718.8828,164017.5469,24447.7109,61017.8672,32451.0352,79879.0078,26378.082,27090.8418,1945.0472,48729.0781,64843.6328,11Y_week3,2011-01-17
11Y_week4,13.9662,160149.6875,26181.3672,24625.0488,48545.0977,373180.8125,91791.4844,0.0226,267828.4375,116571.8438,48312.0508,42154.3281,181943.7031,48706.2656,84402.2266,36134.5117,145517.6406,351219.25,46697.7188,76810.5859,115125.4141,375110.625,38037.7109,35031.6563,411129.6563,15336.7275,318785.75,149643.3594,13138.418,280926.5313,119333.2578,151866.7656,6729.0444,21765.0762,27698.9082,20557.9004,385879.7813,5887.562,75653.7422,304299.75,53295.9453,44310.0117,74097.2578,40838.7656,78087.0391,115079.7344,194204.0781,193802.7969,31648.9727,122500,27450,48459.9414,61811.4141,69980.1875,403643.5,48917.3945,12345.417,17566.7188,122294.2734,77374.3438,48293.0547,42655.2031,133581.8438,117332.1484,11093.4727,37372.8008,21870.1152,69468.4219,35074.3242,2425.2397,804539.25,14400,44765.1094,11265.5518,132657.75,119356.8359,15310.7432,28300,12920.2861,125938.5,10153.3525,552939.125,206744,82644.0078,34433.2852,71626.0781,407699.0313,370492.7188,118313.4375,93297.5,85348.4141,24967.5273,4468.1709,110323.2969,75056.1875,184822.7813,105117.1406,14850,11254.5225,12000,105111.6016,31267.3809,115378.8672,10484.7949,1321042.875,12908.7705,33331.3789,24297.8301,10029.2236,594.7646,59975.0156,66059.9844,7081.7373,11102.623,15161.7002,8894.8877,9390,45467.1016,34874.1797,139428.4375,7357.8008,15130.7861,604.1392,55753.6563,120515.5625,44759.375,36062.6172,10603.458,54597.7773,14536.5703,22396.3809,4890.4043,38492.8906,241133.2188,3974.9199,31125.916,18450.5449,5134.2642,104094.0859,46935.1133,122242.1719,48387.5313,32201.0156,52600,40372.9375,21102.9375,18130.3242,2373.4041,2702.3979,8192.0977,74700,4253.5283,21878.9844,31396.0117,19983.3262,4749.3462,26918.3555,82617.1094,15360.541,2941.6448,1908750,3259.7375,90296.9297,160258.8125,23386.7734,61365.3555,33537.4648,79534.7266,25567.4902,26618.3496,1885.1138,47966.3633,61678.3789,11Y_week4,2011-01-24
11Y_week5,14.11,152889.5938,27381.9238,24625.0488,46233.4609,357434.8438,88360.0234,0.0229,240394.5781,114143.2578,46939.0664,42239.4883,190157.8594,49133.5078,85903.7656,35620.9727,143222.4063,370633.2813,45392.0273,75743.7578,109509.6172,384559.2188,36319.875,33818.082,425209.4688,14978.207,324472.0625,145902.25,13295.2949,263618.2188,127594.7969,163027.5938,6528.1782,21475.4258,27738.6426,20582.5,353248.2188,5621.5063,86516.8594,335939.4375,50765.3438,43447.3398,71356.4141,38539.2227,80400.0391,120163.5938,178872.1563,183778.5,31030.5352,111000,28350,42955.0234,66437.3047,70138.9922,407127.4688,46797.1289,13023.7363,16652.7188,126146.0625,72024.5625,46648.668,44326.2305,138511.0781,129377.6563,12001.9893,37961.7656,23050.1582,67332.2578,34218.8984,2288.6663,774250.75,13800,45972.8008,10955.083,142012.1875,120812.4141,14564.8359,29900,12696.751,115572.0547,10202.165,547378.8125,192407,71478.375,37241.3477,67725.6406,410550.7813,365668.625,120176.6328,89373.7656,97155.8828,24259.4922,4011.1235,109447.4297,73793.2188,182590.5938,105560.7188,14400,11496.585,11300,94738.7422,33573.0664,119945.1875,9877.6289,1368541,11746.624,33756.2813,24488.0273,10837.2646,597.6106,59868.8906,63596.4336,6867.4214,11689.4346,15137.6709,8590.7891,10700,43587.5586,35518.2891,142681.7656,7059.9795,15488.2051,568.5998,56486.0508,127232.8281,41815.8164,37732.9766,11574.0645,51618.4414,13448.7998,21149.752,4706.9214,36421.5547,241601.4063,3742.01,31125.916,17620.2734,5212.0513,107306.8672,45868.4063,120489.5938,49009.0273,30165.8379,53700,38252.6055,20885.3555,18083.8301,2325.5535,2627.4536,8635.9141,73100,4340.7456,21939.2617,31214.2305,17193.8945,4780.7983,29022.7207,82966.8047,15117.4951,2866.8179,702750,3173.6299,89874.9844,151716.2344,24724.4785,61643.3398,34009.8164,78157.5391,25060.8672,28272.1621,1885.1138,46525.6797,55166.8516,11Y_week5,2011-01-31
11Y_week6,13.9805,158014.3438,27428.0996,24625.0488,47158.0547,371606.2188,92220.4219,0.0224,248299.2344,114490.2031,49255.9844,43942.6953,197961.3125,50244.3594,82742.6328,35947.7695,141845.2656,365338.5625,45929.6641,77166.1875,109977.9922,396842.4375,38446.707,33656.2773,404559.0938,14659.5234,317113.5313,146837.5313,13726.7051,276488.4375,125758.9063,155454.1719,6737.4136,22344.3711,28573.1953,20435.0996,353766.1875,5475.604,82637.1719,326633.625,51992.3008,43212.0664,70978.375,39183.1055,82990.6172,124785.25,195597.875,184733.1875,30339.3652,121000,27650,42120.9453,61412.6328,70536.2031,393689.25,48008.7109,13068.958,16050.793,125664.5781,71925.5078,46475.5664,43974.4336,141468.5938,119116.6797,12145.4395,37479.8867,23994.1934,66563.2188,32619.5293,2404.5464,726924.875,14300,43798.9531,11132.4961,138610.9844,118871.6563,15153.71,29800,12204.9766,115572.0547,10592.6797,569620,193267,72851.1953,36827.0391,66927.8281,399146.6563,362774.0938,119245.0391,91117.6484,92972.1328,23998.6367,4161.1963,106820.7734,72440.0391,183483.4688,102900.2031,14300,11738.5586,11350,91511.6406,33797.9648,126642.6406,10525.3105,1319063.875,11961.1738,33048.1055,23822.3301,11027.3926,600.4559,60081.25,64691.3516,7063.1011,12038.4072,14897.3916,8970.9131,10050,44706.332,36714.5039,144540.8281,6911.0781,15488.2051,570.2133,58317.043,126442.5625,42811.4258,38246.9375,11843.2305,56260.6914,13745.4648,21708.5898,4721.0386,36550.9297,237855.6563,3809.3,31870.7656,17943.1543,5212.0513,104415.3672,46046.1953,119175.1641,50340.793,30663.3184,53300,39810.4063,21719.3203,18037.3477,2325.5535,2645.0876,8414.0068,71000,4266.9468,21939.2617,29851.2461,19114.4863,4757.21,28233.584,82791.9453,15020.2764,2918.2615,718500,3161.3298,89031.0859,151032.8438,23801.9238,63450.2539,35190.7188,78157.5391,25229.7402,29925.9688,1923.2516,46610.418,57699.1367,11Y_week6,2011-02-07
11Y_week7,13.7073,155879.0313,27428.0996,24321.5723,43806.125,384203.0625,92220.4219,0.0213,241789.5469,112061.6172,48826.9297,42409.8047,186872.2188,50073.457,77447.7344,34827.3203,128991.9844,337099.8125,43625.5039,72543.3281,113721.2266,354323.625,36197.1758,33373.1133,398927.1875,13185.6016,297376.9375,146837.5313,12903.1045,284033.125,125758.9063,142698.9375,6603.5034,20275.4473,26824.625,19403.5,322170.6875,4994.9863,86128.8984,318258.4063,50228.5547,41408.2969,71923.4844,35963.8789,76421.6719,120163.5938,203960.7344,191893.4219,26228.6113,110000,27250,37867.1523,60375.7891,67438.3359,338443.375,46267.0625,12978.5146,14891.5586,121812.7891,70736.6484,44225.3594,38785.4531,133088.9219,129377.6563,12001.9893,36168.0898,22892.8203,61009.168,30759.7773,2458.3459,690010.8125,12900,42027.6406,10245.4434,130531.8438,105286.3203,15546.292,28650,12741.459,108276.5156,10348.6084,559117.1875,177209,71569.8906,33558.6445,65066.2539,380614.1563,358914.8438,117381.8203,90245.7031,86557.0625,23812.3105,4024.7666,101130.0078,69553.2578,180358.4531,102456.6328,15450,11920.083,12300,83904.8594,32673.2676,122990.3594,9391.8467,1242868.875,11049.335,30687.5273,23964.9805,10789.7334,591.9187,57002.8008,68432.3125,6615.8335,11483.2939,14657.1104,10035.2588,10450,43140.043,34644.1367,152906.5313,6998.6665,15091.0713,568.5998,53739.5664,117354.5156,42508.4102,34692.0742,10946.0146,56607.0977,13943.2402,21321.6992,4558.7261,35472.1289,229427.6875,3664.3799,31008.3262,17159.0078,5095.3608,92206.7969,43690.543,113917.4297,53093.1094,30256.2891,51600,40329.668,20885.3555,17758.416,2363.834,2592.1858,9338.623,74900,4159.6021,22180.375,30032.9316,17696.9023,4576.3569,26436.1035,76147.6172,14680.0107,2815.3743,798750,3026.0215,87765.2422,152057.9375,25139.6309,61643.3398,34482.1797,70582.7813,24452.9219,29414.0918,1863.3232,45593.4688,55257.2656,11Y_week7,2011-02-14
11Y_week8,13.6353,152462.5,26596.9453,25448.7754,42881.5313,371999.875,94365.0781,0.021,255738.9219,108592.2266,49427.6094,40408.543,183997.25,48364.4688,81873.3203,34453.8359,133582.4219,347689.375,43855.9141,72543.3281,112785.4297,347709.5625,35992.6758,31997.7344,396111.25,14022.1504,300722.3125,154787.3438,12667.7881,306223.2188,119333.2578,146286.3438,6737.4136,20689.2324,28255.2734,19010.5,340299.4375,5003.5698,91560.4609,315466.6563,46624.3633,40467.1992,73719.2266,35182,74108.6719,122474.4219,212788.1875,196666.875,27283.6465,114500,28400,34614.2461,62608.9844,64975.8906,356858.6875,44449.7031,12209.7539,14066.71,121812.7891,68457.9844,44484.9961,37993.9141,132596.0156,128039.2578,11954.1729,36837.375,22538.8066,60667.375,30685.3984,2524.5669,689064.1875,11800,38565.5508,10644.6162,114375.0234,98008.4766,15350.0029,27100,13143.8213,115572.0547,10739.124,568384.3125,174342,70471.6328,33006.2344,63736.5703,385603.7813,383035.4688,117381.8203,83095.8047,83396.0078,24520.3477,3949.7305,107258.25,69372.8438,185715.625,93142,15750,11678.1104,11650,85518.4297,33910.4609,114465.7969,9675.2119,1258701.375,11281.7637,30215.4121,23156.6387,10314.4141,577.6897,57321.3047,72538.25,6494.6982,10880.541,14633.082,9731.1602,10250,43408.5508,33493.9336,162666.5156,6954.8726,15845.6211,538.7182,55112.8086,117749.6406,43071.1602,36619.4023,9914.2178,57300,13794.9092,22439.3711,4466.9897,36680.3984,239728.5313,3850.7,30341.9043,16467.1133,5118.7021,89636.5781,44090.5625,114793.7188,53270.6836,28809.0508,52200,41671.1094,20740.3301,17572.4668,2248.9917,2543.6926,8904.0537,74200,4126.0566,22180.375,31759.4766,18931.5703,4529.1777,26523.7832,71514.0625,13902.2627,2787.314,993750,3062.9221,86921.3516,142490.25,24309.3281,61504.3477,35663.0742,70927.0703,24351.5957,27760.2773,1852.4255,46271.4414,53358.1523,11Y_week8,2011-02-21
11Y_week9,13.2758,152035.4375,26181.3672,23931.3867,43806.125,362158.5938,91362.5469,0.0209,244114.4531,113102.4219,49255.9844,40110.4805,183586.5156,47168.1758,81083.0391,33426.7539,129910.0703,328275.2188,44009.5313,68987.2813,103893.8125,338260.9375,36810.6836,31633.6641,367951.6563,13663.6299,291021.9063,155722.6094,13256.0752,296459.5938,118874.2969,139510.1406,6352.4194,20730.6133,25990.082,18617.5,324760.5938,4866.2505,83413.1094,289410.4375,48158.0625,41173.0195,67197.8984,33894.3242,68927.5313,119239.2578,210000.5625,190461.375,26483.2773,107500,26900,32320.5254,55430.8828,60130.4883,343420.5313,44904.0469,12571.5244,13643.1729,116998.0547,60928.5898,43359.8906,36762.6328,125695.1016,119562.8047,11476.0059,37212.1719,21358.7617,58872.9922,29011.6426,2454.2053,689064.1875,10750,35828.1797,10245.4434,106296.6406,95194.3672,14839.6445,25650,12428.5098,116723.875,10641.4961,567766.5625,162012,74498.5859,30934.7129,62672.8125,355668.0938,358914.8438,114587.0234,80218.4063,86650.0391,23141.543,3888.3376,106383.3125,66486.0703,185269.1719,88085.8047,16100,11617.5713,10200,79755.7266,33066.9648,108986.4063,9270.3809,1152820,11335.4023,28799.0645,23299.2891,9981.6914,586.2269,57958.2266,71534.5781,6569.2437,9722.7646,14176.5488,9617.123,10200,40007.4648,33631.957,151512.25,6762.1685,15805.9111,508.8323,48887.4414,111427.5234,38136.3711,34906.2148,9869.3574,55429.2813,13597.1318,21321.6992,4389.3599,35126.9453,236451.0313,3457.3501,29361.8711,16559.3691,5134.2642,77428.0078,42934.9609,102525.6953,54336.0898,27135.6855,50400,35742.8203,20849.0801,17665.4414,2134.1497,2486.3828,8081.1455,68700,4146.1836,21366.7109,26761.623,18611.4707,4639.2632,25077.0313,69678.125,13513.3887,2787.314,851250,2964.5149,86077.4453,148299.2031,24309.3281,61226.3633,34718.3594,70582.7813,24047.623,28114.6035,1857.8744,45084.9922,48926.6563,11Y_week9,2011-02-28
11Y_week10,13.0312,155879.0313,26689.2969,23931.3867,42997.0469,360190.3438,91791.4844,0.021,259458.7656,112408.5469,54061.4453,42069.1719,195086.375,49048.0625,80766.9219,33520.1289,134041.4688,340629.5938,46083.2773,68542.7813,106233.8203,344402.5313,39060.2266,31957.2852,389540.6875,13703.4658,295369.875,162269.4844,13452.1719,298678.5625,117497.375,150670.9844,6528.1782,21516.8047,27182.2852,18470.1992,328903.6563,4720.3481,91948.4063,325237.7813,48694.8594,43133.6406,67953.9922,33296.4375,74293.7109,121550.0938,221151.0469,196666.875,26883.4141,103000,27200,34530.8398,59019.9336,60289.3906,326498.3125,45131.2148,12526.3018,14624.0996,122294.2734,61027.6445,44744.6367,37949.9414,118301.2734,123131.8359,10854.3896,37640.5078,23207.5,59642.0156,29234.7813,2408.6868,712727.0625,11250,37438.3984,10555.9111,110973.875,97523.2734,14839.6445,27000,12249.6826,116723.875,10934.3799,556028.1875,162012,80905.0859,34018.9766,65154.9063,370635.9688,381588.25,115518.625,83008.6172,88602.4531,23327.8691,4106.6235,109885.8359,66666.4844,192412.0938,89593.7734,15700,11496.585,9860,84135.3828,31773.4766,111117.5469,9229.8633,1221098.75,10942.0596,30262.623,23774.7832,10076.7549,591.9187,57427.4414,68341.0703,6709.0146,9833.7158,14296.6885,9883.2109,9900,41081.4883,35196.2344,157089.375,7051.2246,15448.4932,525.7943,48704.3438,112612.9063,37660.2109,34006.7969,10093.6602,55082.7773,13597.1318,21493.6504,4255.2822,34868,229427.6875,3550.51,29244.2734,16974.5039,5087.5884,76142.8984,43112.7422,99458.6797,54158.5234,26638.1953,50500,36218.8125,20885.3555,17665.4414,2263.3469,2499.6079,8303.0537,67200,4105.9297,20974.9063,30350.9551,20897.8945,4466.2734,25866.1699,68629.0078,13610.6074,2848.1111,702750,3062.9221,85655.4922,159233.7188,25693.1602,63311.2461,34434.9414,70238.4219,24621.7969,27838.9688,1841.5275,46525.6797,49559.7266,11Y_week10,2011-03-07
11Y_week11,12.9449,158441.4219,27797.5039,22934.2441,42765.9297,384203.0625,89217.8906,0.0213,252949.0625,111367.7422,52516.8398,41132.4063,192211.4063,47168.1758,81399.1406,34080.3555,129451.0313,361367.4688,44163.1445,66142.4531,98278.0156,351489.0313,35992.6758,31269.5938,393764.625,13623.7939,289014.875,156190.2656,13256.0752,332851.2813,124840.9688,158244.3594,6051.1191,21516.8047,26665.666,18175.4004,329421.6875,4643.1055,108631.0391,358273.4063,50918.7188,43290.4883,67481.4375,30353.1094,71703.1406,109995.9063,223938.6563,209077.9063,24955.373,93900,22900,29401.2559,66517.0547,58780.168,288672.2813,46948.5781,12254.9736,13821.5596,122294.2734,56371.3555,46389.0234,35047.625,113372.0547,129377.6563,11189.1055,38871.9922,22971.4883,49559.2656,30648.2441,2723.22,711780.6875,10900,36230.7109,10156.7373,105020.6328,102375.1719,11463.4297,29150,12607.3369,114420.2266,10787.9375,577033.625,156850,72027.4922,38346.1523,63381.9961,377050.4063,389789.2188,115984.4219,84926.875,96691.0234,23924.1055,3915.6233,113387.4219,65223.1055,200001.4531,89593.7734,15150,11466.2705,8900,77450.6563,35091.4492,115683.8672,9067.9629,1196360.125,12211.4824,30498.6797,25153.7188,10932.3281,566.3068,60187.3828,65968.75,6485.3809,9706.8242,14200.5791,9503.0869,10500,39022.9414,35150.2305,158018.8906,7349.0361,16639.8906,631.6006,48155.0469,118144.75,33158.3008,34863.3906,10721.7109,52657.7539,12855.4707,21837.5488,4043.5742,34997.4727,227086.6094,3923.1599,29949.8574,17066.7578,5126.4834,70681.1641,43512.7656,99896.8359,54513.6602,24829.1484,50400,36391.9063,22480.8125,17200.5605,2091.0837,2473.157,7813.0059,69400,4186.438,21185.8789,31168.875,20760.709,4647.126,26523.7832,68191.8906,13367.5605,2735.8704,718500,3050.6226,85655.4922,152741.3594,23940.3066,61087.375,34529.4141,74370.1719,24689.3457,29729.0273,1819.7369,48305.3516,47027.4453,11Y_week11,2011-03-14
11Y_week12,12.8011,154597.8281,26319.8945,22934.2441,44268.4688,399949.0625,87931.0938,0.0205,259458.7656,111367.7422,52860.0781,41941.4297,186050.7813,48108.1211,79423.4375,32679.7871,130369.1328,366220.9688,41782.1719,67831.5703,95469.625,353851.1563,35624.5625,31310.0469,395641.875,13145.7666,320458,152449.1563,13726.7051,331076.0938,127594.7969,170202.375,6302.2026,21558.1816,26625.9219,17733.3008,362571.1875,4900.5806,109018.9922,353620.5313,49078.2813,42035.6953,65780.2188,31778.7773,74478.75,106298.5547,231836.9219,207168.5156,28775.0918,96800,24750,33446.5352,68590.7344,60766.0039,340434.2188,45206.9375,12209.7539,13665.4814,118442.4766,59838.7852,46042.8359,36146.9844,113372.0547,127146.9922,10519.6719,39032.625,22538.8066,55540.5547,32247.5469,2723.22,728818,11500,38042.25,10378.501,114800.3828,103345.5625,12523.4033,30400,12428.5098,111732,10787.9375,614719.9375,168607,71020.7578,39404.9297,67105.1172,357092.9688,434171.2188,115518.625,87629.8906,101339.6328,25489.2344,3751.8992,110760.7578,65764.375,200001.4531,93142,14650,11375.5088,9430,82982.8438,34978.957,122076.3203,9553.7461,1178548.25,12551.1885,30687.5273,23346.8379,11169.9883,566.8763,58276.6367,65786.2578,6448.1084,10182.6875,12999.1748,10339.3584,9300,38262.1758,37910.7148,156159.8594,7445.3887,17434.1582,623.5225,48795.8984,113008.0391,35625.6953,40859.5508,10676.8496,52172.75,12855.4707,21665.5977,4205.8867,36162.6094,232237.0469,3830,30694.6992,17205.1328,5056.4658,74857.7813,43690.543,98582.3984,50340.793,25597.9941,49800,38079.5234,23858.6855,16921.6328,2081.5137,2473.157,7988.6836,68000,4025.4211,21939.2617,33985.8242,21172.2637,4324.7358,25953.8516,68279.3203,12687.0303,2740.5471,798750,3124.4292,85655.4922,151716.2344,25278.0137,61226.3633,35521.3711,76091.6328,24993.3145,27563.334,1797.9407,47796.875,48474.5078,11Y_week12,2011-03-21
